Cluster,GooglePatentsID,publication_number,application_number,publication_date,grant_date,title,abstract,assignee,claims_text
A,US3941380,US-3941380-A,US-37871373-A,19760302.0,19760302.0,Tennis rackets and similar implements with vibration damper,"A damping mechanism for implements such as tennis rackets, baseball bats and the like, comprising an elongated vibratable member formed of an elastomeric, energy-absorbing material. One of the ends of the vibratable member is attached rigidly to the implement at a point near an anti-node, with the longitudinal axis of the member concentric with or generally parallel to the longitudinal axis of the implement. The dimensions of the member are adjusted such that the natural frequency of vibration of the member corresponds generally to the vibration induced in the implement in use as a result of striking a game ball or the like.",['Patentex S.A.'],"What I claim is: 
     
       1. An elongated sports implement comprising a striking portion at one end and a handle portion of lesser breadth than said striking portion at its other end, said implement having a longitudinal axis which passes through said striking portion and said handle, said implement being subject in use to significant vibration extending to said handle portion from impacting contact with a game ball at said striking portion, said vibration being transverse to said longitudinal axis and having an alternating series of two nodes and three antinodes spaced along said axis, one of said antinodes being located at each of said ends of said implement, and a cantilevered vibration damper comprising an elongated resilient member having a longitudinal axis, said member having one end attached to said implement at the location of one of said antinodes, with the longitudinal axis of said member generally parallel to the longitudinal axis of said implement, the opposite end of said member being free to vibrate, said member being formed of an energy-absorbing material and being so configured and dimensioned that its natural frequency of vibration corresponds to the frequency induced in the implement during said vibration, whereby said vibration is significantly damped.   
     
     
       2. An implement in accordance with claim 1 in which said member has at least a portion having a circular cross-section. 
     
     
       3. An implement in accordance with claim 1 in which said member has a variable cross-section which is smaller at the point of attachment to said implement and larger at its free end. 
     
     
       4. An implement in accordance with claim 1 in which said member has at least a portion having a rectangular cross-section. 
     
     
       5. An implement in accordance with claim 1 in which said elongated member comprises a weighted relatively non-flexible portion at the free end of said member and a flexible connecting portion between said weighted portion and the point of attachment of said member to said implement. 
     
     
       6. An implement in accordance with claim 5 in which said flexible portion is made of a material selected from the group consisting of linear polyurethanes, silicone elastomers, or butyl rubber. 
     
     
       7. An implement in accordance with claim 6 in which at least part of said flexible connecting portion has a circular cross-section. 
     
     
       8. An implement in accordance with claim 6 in which at least part of said flexible connecting portion has a rectangular cross-section. 
     
     
       9. An implement in accordance with claim 5 in which said elongated member is integrally formed of a single homogeneous material. 
     
     
       10. An implement in accordance with claim 9 in which said material is selected from the group consisting of linear polyurethanes, silicone elastomers, or butyl rubber. 
     
     
       11. An implement in accordance with claim 5 in which said connecting portion and said weighted portion of said elongated member are generally cylindrical, said weighted portion having a diameter at least equal to that of said connecting portion. 
     
     
       12. An implement in accordance with claim 5 in which said elongated member is formed of different materials, said weighted portion having a greater density than that of said connecting portion. 
     
     
       13. An implement in accordance with claim 1 in which said member is entirely enclosed within said implement. 
     
     
       14. An implement in accordance with claim 2 in which said member is U-shaped, the arms of the U being attached to said implement and the trough of the U being free to vibrate. 
     
     
       15. An implement in accordance with claim 1 in which the cross-section of said U-shaped member is rectangular. 
     
     
       16. An implement in accordance with claim 1 which is a tennis racket having a head constituting said striking portion, a handle portion and a throat portion interconnecting said head and said handle portion, an antinode existing at the free end of said handle and within said heart portion, said member being attached to one of said handle free end and said heart portion at the location of the antinode present therein. 
     
     
       17. A tennis racket in accordance with claim 16 in which said member has a circular cross-section. 
     
     
       18. A tennis racket in accordance with claim 16 in which said member has a variable cross-section which is smaller at its point of attachment to said handle and larger at its free end. 
     
     
       19. A tennis racket in accordance with claim 16 in which said member has a rectangular cross-section. 
     
     
       20. A tennis racket in accordance with claim 16 in which said handle portion comprises two parallel limbs and a transverse brace interconnecting said limbs, said elongated member being attached to said brace. 
     
     
       21. A tennis racket in accordance with claim 16 in which said member protrudes from the free end of said handle, and said handle comprises a protective guard surrounding said member. 
     
     
       22. A tennis racket in accordance with claim 16 including a cap adapted for connection to the free end of said handle, said cap forming the point of attachment of said member to said racket. 
     
     
       23. An implement in accordance with claim 1 which is a baseball bat comprising a handle portion and a ball striking portion connected thereto, each of said handle portion and said striking portion having a free end, said member being connected to one of said free ends. 
     
     
       24. An implement in accordance with claim 1 which is a tubular baseball bat comprising a handle portion, a ball striking portion, and a plug closing the open end of said ball striking portion, said member being integrally formed on said plug and being enclosed entirely within said bat."
A,US5362046,US-5362046-A,US-6299793-A,19941108.0,19941108.0,Vibration damping,"Small, effective, lightweight, vibration damping devices for implements which are subject to impact. These devices have a head and a stem and are fabricated from a soft elastomeric material. The stem is capable of oscillating over a 360° span in directions generally normal to the longitudinal axis of the device. The peripheral part of the head can oscillate around its circumference in directions generally paralleling that axis.","['Steven C. Sims, Inc.']","What is claimed is: 
     
       1. The combination of an implement and an accessory which keeps deleterious, impact-generated vibrations from being transmitted to a wielder of the implement, said accessory being fabricated from an elastomer and having a mushroom-like configuration defined by a stem and an integral head, said stem being fixed to said implement and being configured for vibration free of contact with said implement in directions which encompass a 360° arc and are generally normal to the longitudinal axis of the accessory, and said head being dimensioned and configured for implement-free vibrational bending of its peripheral edge at all loci around the circumference thereof in first and second, opposite directions generally paralleling the longitudinal axis of the accessory. 
     
     
       2. A combination as defined in claim 1 in which the ratio of head width to stem length is in the range of 5:1 to 1:1. 
     
     
       3. A combination as defined in claim 1 in which the Shore A hardness of the elastomer from which the damper means is fabricated is in the range of 3 to 20. 
     
     
       4. A combination as defined in claim 1 in which the elastomer from which the damper means is fabricated comprises an amorphous mixture of butyl and chloroprene polymers. 
     
     
       5. A combination as defined in claim 1 in which the implement has a handle and the combination includes fastener means for attaching said damper means to said handle. 
     
     
       6. A combination as defined in claim 5 in which the implement has a handle with an exposed end, there is a cavity in said exposed end of said handle, said damper means is located in said cavity, and there is sufficient clearance between the head of the damper means and the wall of the cavity that the damper means does not touch said wall during impact-effected displacement of said damper means. 
     
     
       7. A combination as defined in claim 1 in which said implement has a handle and the combination includes an adhesive for attaching said damper means to said handle. 
     
     
       8. A combination as defined in claim 1 in which the damper means is so constructed and fabricated as to decrease the rate-of-decay of vibrations set up in the implement by the impact. 
     
     
       9. A combination as defined in claim 1 in which the implement has a component adapted to strike a game object and a handle and the damper means is located at an exposed end of said handle. 
     
     
       10. A combination as defined in claim 9 in which the damper means is located exteriorly of and attached to the handle. 
     
     
       11. A combination as defined in claim 9 in which the damper is installed in said handle. 
     
     
       12. The combination of an implement and an accessory which keeps deleterious, impact-generated vibrations from being transmitted to a wielder of the implement: said accessory being fabricated from an elastomer and having a mushroom-like configuration defined by a stem and an integral head;   said stem being fixed to said implement and being configured for vibration in directions which encompass a 360° arc and are generally normal to the longitudinal axis of the accessory;   said head being free of said implement and configured for vibration of its peripheral edge around the circumference thereof in first and second directions generally paralleling the longitudinal axis of the accessory;   said implement having a component adapted to strike a game object and a handle, the accessory being installed in and protruding from an exposed end of said handle;   and said implement comprising a grip which surrounds said handle and a protruding part of the accessory and a cover which cooperates with said grip to envelope the accessory.   
     
     
       13. A combination as defined in claim 12 in which the implement comprises a grip support fixed to the exposed end of the handle inside of and in abutting relationship with that part of the grip protruding beyond the handle."
A,US11739645,US-11739645-B2,US-202017038540-A,20230829.0,20230829.0,Vibrational dampening elements,A vibrational dampening element is attached to a component and configured to adjust the amplitude of oscillations of the component. The vibrational dampening element includes a mass. The mass includes a main body and a member extending from the main body. A casing that encapsulates the mass. A fluidic chamber defined between the mass and the casing. A first fluidic portion is disposed between a first side of the mass and the casing. The first fluidic portion includes a first accumulator portion directly neighboring the member. A second fluidic portion is disposed between a second side of the mass and the casing. The second fluidic portion includes a second accumulator portion directly neighboring the member. The first accumulator portion is in fluid communication with the second accumulator portion. The vibrational dampening element further includes a primary passage that extends between the first fluidic portion and the second fluidic portion.,['General Electric Company'],"What is claimed is: 
     
       1. A vibrational dampening element attached to a turbine component and configured to adjust an amplitude of oscillations of the turbine component, the vibrational dampening element comprising:
 a mass having a main body and a member extending from the main body, wherein the member is an annular member that surrounds the main body of the mass such that the mass defines a circular cross section; 
 a casing encapsulating the mass; 
 a fluidic chamber defined between the mass and the casing and filled with a fluid; 
 a first fluidic portion of the fluidic chamber disposed between a first side of the mass and the casing, wherein the first fluidic portion includes a first accumulator portion that extends along the member; 
 a second fluidic portion disposed between a second side of the mass and the casing, wherein the second fluidic portion includes a second accumulator portion that extends along the member, and wherein the first accumulator portion is in fluid communication with the second accumulator portion; and 
 a primary passage that extends between the first fluidic portion and the second fluidic portion, wherein the primary passage extends along an axial centerline of the vibrational dampening element. 
 
     
     
       2. The vibrational dampening element as in  claim 1 , further comprising a plurality of secondary passages circumferentially spaced apart from one another, wherein each secondary passage in the plurality of secondary passages extends through the member from the first accumulator portion to the second accumulator portion. 
     
     
       3. The vibrational dampening element as in  claim 1 , further comprising a first bellows tube extending between the first side of the member and the casing and a second bellows tube extending between the second side of the member and the casing. 
     
     
       4. The vibrational dampening element as in  claim 3 , wherein the mass is suspended within the fluid by the first bellows tube and the second bellows tube. 
     
     
       5. The vibrational dampening element as in  claim 1 , wherein the annular member is corrugated. 
     
     
       6. The vibrational dampening element as in  claim 1 , wherein the member is coupled to the casing such that the mass is cantilevered within the fluid within the casing. 
     
     
       7. The vibrational dampening element as in  claim 1 , wherein the primary passage is oriented generally along a direction of oscillations of the turbine component. 
     
     
       8. A rotor blade, comprising:
 a platform; 
 a shank extending radially inward from the platform; 
 an airfoil extending radially outward from a root coupled to the platform to a tip, wherein a vibrational dampening element is attached to the rotor blade and configured to adjust an amplitude of oscillations of the rotor blade, the vibrational dampening element comprising:
 a mass having a main body and a member extending from the main body, wherein the member is an annular member that surrounds the main body of the mass such that the mass defines a circular cross section; 
 a casing encapsulating the mass; 
 a fluidic chamber defined between the mass and the casing and filled with a fluid; 
 a first fluidic portion of the fluidic chamber disposed between a first side of the mass and the casing, wherein the first fluidic portion includes a first accumulator portion that extends along the member; 
 a second fluidic portion disposed between a second side of the mass and the casing, wherein the second fluidic portion includes a second accumulator portion that extends along the member, and wherein the first accumulator portion is in fluid communication with the second accumulator portion; and 
 a primary passage that extends between the first fluidic portion and the second fluidic portion. 
 
 
     
     
       9. The rotor blade as in  claim 8 , wherein the primary passage extends along an axial centerline of the vibrational dampening element. 
     
     
       10. The rotor blade as in  claim 8 , further comprising a plurality of secondary passages circumferentially spaced apart from one another, wherein each secondary passage in the plurality of secondary passages extends through the member from the first accumulator portion to the second accumulator portion. 
     
     
       11. The rotor blade as in  claim 8 , further comprising a first bellows tube extending between the first side of the member and the casing and a second bellows tube extending between the second side of the member and the casing. 
     
     
       12. The rotor blade as in  claim 11 , wherein the mass is suspended within fluid by the first bellows tube and the second bellows tube. 
     
     
       13. The rotor blade as in  claim 8 , wherein the annular member is corrugated. 
     
     
       14. The rotor blade as in  claim 8 , wherein the member is coupled to the casing such that the mass is cantilevered within fluid inside of the casing. 
     
     
       15. The rotor blade as in  claim 8 , wherein the primary passage is oriented generally along a direction of oscillations of the rotor blade. 
     
     
       16. The rotor blade as in  claim 8 , wherein the vibrational dampening element is a plurality of vibrational dampening elements, each vibrational dampening element in the plurality of vibrational dampening elements attached to the airfoil at different span locations, and wherein each vibrational dampening element is sized to be tuned to a frequency based on the respective span location to which each vibrational dampening element is attached. 
     
     
       17. A vibrational dampening element attached to a turbine component and configured to adjust an amplitude of oscillations of the turbine component, the vibrational dampening element comprising:
 a mass having a main body and a member extending from the main body, wherein the member is an annular member that surrounds the main body of the mass such that the mass defines a circular cross section, and wherein the annular member is corrugated; 
 a casing encapsulating the mass; 
 a fluidic chamber defined between the mass and the casing and filled with a fluid; 
 a first fluidic portion of the fluidic chamber disposed between a first side of the mass and the casing, wherein the first fluidic portion includes a first accumulator portion that extends along the member; 
 a second fluidic portion disposed between a second side of the mass and the casing, wherein the second fluidic portion includes a second accumulator portion that extends along the member, and wherein the first accumulator portion is in fluid communication with the second accumulator portion; and 
 a primary passage that extends between the first fluidic portion and the second fluidic portion."
A,US4241814,US-4241814-A,US-88634778-A,19801230.0,19801230.0,Mechanical-hydraulic damper for a load subject to shocks and vibrations,"A mechanical-hydraulic damper for a load which is subject to shocks and vibrations, comprising a co-operating pair of elements, the first of the pair of elements being mounted in a body for relative axial movement in relation to the body and the second of the pair of elements being rotatably mounted in the body and so coupled to the first element that relative axial movement of the first element causes rotation of the second element which is coupled to a hydraulic system which resists sudden or rapid rotation of the second element. The pair of co-operating elements may comprise a screw-nut assembly. The hydraulic system may comprise a reversible pump driven by the rotatable element and pumping hydraulic fluid round a closed circuit including a throttling orifice. Alternatively the hydraulic system may comprise a rotary laminar hydraulic damper filled with high viscosity oil.",['Messier-Hispano-Bugatti'],"What is claimed is: 
     
       1. A mechanical-hydraulic damper for a load which is subject to shocks and vibrations, comprising a co-operating pair of elements including a ball or roller screw and a nut, a first element of said pair of elements being mounted in a body for relative axial movement in relation to said body and the second element of said pair of elements being rotatably mounted in said body and so coupled to said first element that relative axial movement of said first element causes rotation of said second element, with said second element being coupled to hydraulic means which resist sudden or rapid rotation of said second element including drive means comprising a reversible pump to cause flow of hydraulic fluid around a closed hydraulic circuit mounted on said body, the rate of flow of fluid being restricted by a calibrated orifice comprising a reversible symmetrical control valve in communication with a reservoir of hydraulic fluid, the outlet of which is coupled to a fluid inlet at the middle of said symmetrical control valve, whereby the mechanical-hydraulic damper functions to damp successive shocks and vibrations in the same or reverse directions. 
     
     
       2. A mechanical-hydraulic damper as claimed in claim 1, wherein said pump is directly driven by said second element which is mounted to rotate in said body. 
     
     
       3. A mechanical-hydraulic damper as claimed in claim 1, wherein said pump is driven by said second element which is mounted to rotate in said body through at least one pair of gears. 
     
     
       4. A mechanical-hydraulic damper as claimed in claim 1, wherein said first element is guided for axial movement in relation to said body by guide tracks. 
     
     
       5. A mechanical-hydraulic damper as claimed in claim 1, wherein said first element is guided for axial movement in relation to said body by means of a key and key way. 
     
     
       6. A mechanical-hydraulic damper as claimed in claim 1, wherein said first element is guided for axial movement in relation to said body by means of a caliper. 
     
     
       7. A mechanical-hydraulic damper as claimed in claim 1, wherein said pair of elements comprises a screw and a nut, said screw is guided for axial movement in relation to said body and wherein said nut is mounted to rotate in said body and is rigid with a sleeve rotatable in said body and coupled to said drive means for said hydraulic circuit. 
     
     
       8. A mechanical-hydraulic damper as claimed in claim 1, wherein said pair of elements comprises a screw and a nut, said screw is mounted to rotate in said body, said nut is rigidly coupled to a sleeve guided for axial movement in relation to said body and said screw is coupled to said drive means of said hydraulic circuit."
A,US7270221,US-7270221-B2,US-41755406-A,20070918.0,20070918.0,Bicycle damping enhancement system,"A bicycle shock absorber and methods for differentiating between rider-induced forces and terrain-induced forces includes a first fluid chamber having fluid contained therein, a piston for compressing the fluid within the fluid chamber, a second fluid chamber coupled to the first fluid chamber by a fluid communication hose, and an inertial valve disposed within the second fluid chamber. The inertial valve opens in response to terrain-induced forces and provides communication of fluid compressed by the piston from the first fluid chamber to the second fluid chamber. The inertial valve does not open in response to rider-induced forces and prevents communication of the fluid compressed by the piston from the first fluid chamber to the second fluid chamber.","['Specialized Bicycle Components, Inc.']","1. A bicycle, comprising:
 a frame; 
 a pedal crank assembly configured to be driven by rider-induced pedaling forces; 
 a wheel; and 
 a suspension assembly interposed between said frame and said wheel, said suspension assembly comprising:
 a damper, said damper comprising a damper tube and a piston rod supporting a piston in sliding engagement with said tube, said piston and said damper tube at least partially defining a compression chamber of said damper, wherein said piston rod occupies an increasing volume of said damper tube during compression movement of said suspension assembly, said damper additionally comprising an inertia valve including a inertia mass, said inertia mass normally biased to a closed position wherein said inertia mass is adjacent an opening to said compression chamber such that fluid flow through said opening is inhibited, and said inertia mass movable to an open position wherein said inertia mass is not adjacent said opening such that fluid flow through said opening is not inhibited; and 
 a spring configured to apply a force to said suspension assembly tending to extend said piston rod relative to said damper tube; 
 
 wherein said inertia valve is configured such that said inertia mass remains in said closed position in response to said rider-induced pedaling forces applied to said frame and wherein said inertia valve is configured such that said inertia mass moves toward said open position in response to a terrain-induced force above a predetermined threshold applied to said wheel; 
 wherein said damper further comprises a floating piston movable in response to said compression movement of said suspension assembly. 
 
   
   
     2. A bicycle, comprising:
 a frame; 
 a pedal crank assembly configured to be driven by rider-induced pedaling forces; 
 a wheel; and 
 a suspension assembly interposed between said frame and said wheel, said suspension assembly comprising:
 a damper, said damper comprising a damper tube and a piston rod supporting a piston in sliding engagement with said tube, said piston and said damper tube at least partially defining a compression chamber of said damper, wherein said piston rod occupies an increasing volume of said damper tube during compression movement of said suspension assembly, said damper additionally comprising an inertia valve including a inertia mass, said inertia mass normally biased to a closed position wherein said inertia mass is adjacent an opening to said compression chamber such that fluid flow through said opening is inhibited, and said inertia mass movable to an open position wherein said inertia mass is not adjacent said opening such that fluid flow through said opening is not inhibited; and 
 a spring configured to apply a force to said suspension assembly tending to extend said piston rod relative to said damper tube; 
 
 wherein said inertia valve is configured such that said inertia mass remains in said closed position in response to said rider-induced pedaling forces applied to said frame and wherein said inertia valve is configured such that said inertia mass moves toward said open position in response to a terrain-induced force above a predetermined threshold applied to said wheel; 
 wherein said damper further comprises a reservoir chamber configured to accommodate fluid displaced by said increasing volume of said piston rod during said compression movement of said suspension assembly; 
 further comprising a floating piston separating said reservoir chamber from a gas chamber."
A,US5655980,US-5655980-A,US-55199095-A,19970812.0,19970812.0,Vibration damping device for sporting implements,"A vibration damping device for sporting implements includes a base member and a mass mounted to the base member and cantilevered relative thereto, the device is tuned such that it vibrates at the same frequency as the sporting implement but out of phase therewith.","['Roush Anatrol, Inc.']","What is claimed is: 
     
       1. A stringed racquet having a vibration damping device, said stringed racquet comprising: a racquet frame including a head and a handle;   said vibration damping device being mounted in said handle of said stringed racquet and including a viscoelastic base member and a mass mounted to said viscoelastic base member and cantilevered relative to said viscoelastic base member, said device being tuned such that it vibrates at the same frequency as said stringed racquet but out of phase therewith and said mass deforms said viscoelastic base member as a result of the vibrations, said viscoelastic base member acting to absorb energy generated by said mass and to release the absorbed energy to counteract energy produced in the stringed racquet due to impact; and   a foam material substantially encasing said mass, said foam material and said viscoelastic base member acting in conjunction together to absorb the energy generated by said mass.   
     
     
       2. A stringed racquet having a vibration damping device, said stringed racquet comprising: a racquet frame including a head and a handle;   said vibration damping device being mounted in said handle of said stringed racquet and including a viscoelastic base member and a mass mounted to said viscoelastic base member and cantilevered relative to said viscoelastic base member, said device being tuned such that it vibrates at the same frequency as said stringed racquet but out of phase therewith and said mass deforms said viscoelastic base member as a result of the vibrations, said viscoelastic base member acting to absorb energy generated by said mass and to release the absorbed energy to counteract energy produced in the stringed racquet due to impact; and   wherein said viscoelastic base member has an aperture extending therethrough, said mass including a threaded aperture, said vibration damping device including a threaded fastener extending through said aperture in said viscoelastic base member and received in said threaded aperture of said mass to mount said mass to said viscoelastic base member.   
     
     
       3. A stringed racquet as set forth in claim 2 wherein said fastener comprises a bolt having a head and a threaded shaft, said head applying a clamping force on said viscoelastic base member such that said vibration damping device is tunable to the vibrational frequency of said stringed racquet by adjusting the torque on said fastener. 
     
     
       4. A stringed racquet having a vibration damping device, said stringed racquet comprising: a racquet frame including a head and a handle;   said vibration damping device being mounted in said handle of said stringed racquet and including a viscoelastic base member and a mass mounted to said viscoelastic base member and cantilevered relative to said viscoelastic base member, said device being tuned such that it vibrates at the same frequency as said stringed racquet but out of phase therewith and said mass deforms said viscoelastic base member as a result of the vibrations, said viscoelastic base member acting to absorb energy generated by said mass and to release the absorbed energy to counteract energy produced in the stringed racquet due to impact; and   wherein said viscoelastic base member has an oval shape, said mass being cylindrical in shape, defining a longitudinal axis and an outer radial, peripheral surface such that said mass is circular in cross-section and has a pair of flat ends which are perpendicular to said longitudinal axis, said mass extending from said oval viscoelastic base member.   
     
     
       5. A stringed racquet as set forth in claim 4 wherein said viscoelastic base member has a pocket disposed on said viscoelastic base member, one of said pair of flat ends of said mass being received in said pocket. 
     
     
       6. A stringed racquet as set forth in claim 5 wherein said viscoelastic base member has an aperture extending between said recess and said pocket, said mass including a threaded aperture, said vibration damping device including a threaded fastener extending through said aperture in said viscoelastic base member and received in said threaded aperture of said mass to mount said mass to said viscoelastic base member. 
     
     
       7. A stringed racquet as set forth in claim 4 including a foam material disposed about a substantial portion of said outer radial peripheral surface of said mass."
A,US5251863,US-5251863-A,US-92847092-A,19931012.0,19931012.0,Active force cancellation system,An active force cancellation system adapted to contain vibrations in flexible structures which utilizes co-located vibration sensors and counter-vibration devices to offset linear disturbances without setting off sub-structure vibrations.,"['Noise Cancellation Technologies, Inc.']","We claim: 
     
       1. An active force cancellation system for controlling vibrations in flexible structures, said system comprising a vibration sensing means located on said flexible structure   counter-vibration means located on said flexible structure   controller means operatively associated with said vibration sensing means and said counter-vibration means and adapted to cause the latter to vibrate in response to signals from the sensing means so as to eliminate vibrations in said flexible structure.   
     
     
       2. A system as in claim 1 wherein said controller means is a multiple controller and there are at least two counter-vibration means on said flexible structure. 
     
     
       3. A system as in claim 1 and including machinery directly connected to said flexible structure. 
     
     
       4. A system as in claim 3 and including a shaker means connected to said flexible structural member. 
     
     
       5. An active force cancellation system adapted to contain vibrations in flexible structure being acted upon by a disturbance, said system comprising a vibration sensor means mounted on said structure and co-located at the disturbance input point so as not to affect the structures modes,   a counter-vibration means mounted on said structure and also co-located at said disturbance,   controller means operatively associated with said vibration sensor and counter-vibration means and adapted to cause the latter to vibrate in response to signals from the sensor to thereby eliminate vibrations in said structure without setting off sub-structure vibrations.   
     
     
       6. A system as in claim 5 wherein sensor and counter vibration means are located within one housing. 
     
     
       7. A system as in claim 6 and including multiple sensors and counter vibration means so located on said structure that the sum vector of the sensing and counter-vibration is co-located along the axis of the disturbance. 
     
     
       8. An active force cancellation system for controlling vibrations of various modes occurring along a line of action in structures, said system comprising a vibration sensing means located on said structure,   counter-vibration means located on said structure, said counter-vibration means so located on said structure so as to have its axis of movement parallel to and less than one quarter of the wavelength of the highest order mode being controlled,   controller means operatively associated with said vibration sensing means and said counter-vibration means and adapted to cause the latter to vibrate in response to signals from the sensing means so as to eliminate vibrations in said structure.   
     
     
       9. A system as in claim 8 wherein said controller means is a multiple controller and there are at least two counter-vibration means on said flexible structure. 
     
     
       10. A system as in claim 8 and including machinery directly connected to said structure. 
     
     
       11. A system as in claim 10 and including a shaker means connected to said structural member. 
     
     
       12. An active force cancellation system adapted to contain vibrations in flexible structures being acted upon by a disturbance along a line of action, said system comprising a vibration sensor means mounted on said structure and co-located at the disturbance input point so as not to affect the structures modes,   a counter-vibration means mounted on said structure and also co-located at said disturbance,   controller means operatively associated with said vibration sensor and counter-vibration means and adapted to cause the latter to vibrate in response to signals from the sensor to thereby eliminate vibrations in said structure without setting off sub-structure vibrations.   
     
     
       13. A system as in claim 12 wherein sensor and counter vibration means are located within a single housing. 
     
     
       14. A system as in claim 13 and including multiple sensors and counter-vibration means so located on said structure that the sum vector of the sensing and counter-vibration is co-located along the line of action of the disturbance. 
     
     
       15. A system as in claim 12 wherein the axis of vibration of said counter-vibration means is parallel to and offset from said line of action by a distance less than one-quarter of the wavelength of the highest order mode being controlled."
A,US498430,US-498430-A,US-498430D-A,18930530.0,18930530.0,Sign-letter,,[],"A sign letter or symbol comprising the reflecting backing in prismatic or convex form and the carrier or connecting support for said backing consisting of the transparent body portion of the letter having a flat front face, adapted to bear against the glass pane or other support from edge to edge of said letter and a prismatic or convex rear side to which the backing is attached to conform thereto, substantially as described."
A,US4660832,US-4660832-A,US-71597585-A,19870428.0,19870428.0,Shock and vibration absorbent handle,"A shock and vibration handle for application to the hand gripping portion of the normal handle of an impacted, vibration sensitive item, such as, a tennis racket, a racquetball racket, a golf club, a baseball bat, and other impact devices, such as hammers, and the like. The shock and vibration absorbent handle includes an inner tubular isolation shell of shock and vibration absorbent material mounted on the hand gripping portion of the normal handle. An outer tubular shell is mounted around shock absorbent material, and has it wrapped therearound a covering material. The absorbent material may be employed as longitudinal strips, spaced around the periphery of the handle or an integral, single piece tubular member. The inner tubular shells of absorbent material may be mounted on an inner tubular mounting shell which is mounted on the handle, and which has operatively mounted therein a cantilever spring beam having a weight on the free end thereof. In the last described handle the absorbent material may be deleted since the spring is also a vibration damper.",['Shomo Robert D'],"What is claimed is: 
     
       1. A shock and vibration handle for application to the hand gripping portion of a normal handle on an impacted, vibration sensitive item, characterized in that it comprises: (a) a tubular inner isolation shell of shock and vibration absorbent material adapted to be mounted on the hand gripping portion of a normal handle;   (b) a tubular outer rigid shell having an outer periphery and being mounted around said tubular inner isolation shell of shock and vibration absorbent material and comprising two elongated equal shell portions which do not touch each other;   (c) means for holding said tubular inner and outer shells in mating position on the hand gripping portion of a normal handle; and,   (d) a handle covering material operatively mounted around the outer periphery of said tubular outer shell.   
     
     
       2. A shock and vibration handle for application to the hand gripping portion of a normal handle on an impacted, vibration sensitive item, as defined in claim 1, characterized in that: (a) said tubular inner isolation shell of shock and vibration absorbent material comprises a plurality of strips of said material, evenly spaced longitudinally about the hand gripping portion of the normal handle.   
     
     
       3. A shock and vibration handle for application to the hand gripping portion of a normal handle on an impacted, vibration sensitive item, as defined in claim 1, characterized in that: (a) said tubular inner isolation shell of shock and vibration material comprises a one-piece tubular shell of such absorbent material.   
     
     
       4. A shock and vibration handle for application to the hand gripping portion of a normal handle on an impacted, vibration sensitive item, as defined in either one of claims 2 or 3, characterized in that: (a) the tubular inner isolation shell of shock and vibration absorbent material is circular in cross section configuration and adapted to be mounted on a reduced diameter hand gripping portion of a normal handle, and the tubular outer shell is circular in cross section.   
     
     
       5. A shock and vibration handle for application to the hand gripping portion of a normal handle on an impacted, vibration sensitive item, as defined in either one of claims 2 or 3, characterized in that: (a) the tubular inner isolation shell of shock and vibration absorbent material is non-circular in cross section configuration and adapted to be mounted on a reduced diameter hand gripping portion of a normal handle, and the tubular outer shell is non-circular in cross section.   
     
     
       6. A shock and vibration handle for application to the hand gripping portion of a normal handle on an impacted, vibration sensitive item, characterized in that it comprises: (a) a tubular inner isolation shell of shock and vibration absorbent material adapted to be mounted on the hand gripping portion of a normal handle;   (b) a tubular outer shell having an outer periphery and being mounted around said tubular inner isolation shell of shock and vibration absorbent material and comprising two elongated equal shell portions which do not touch each other;   (c) means for holding said tubular inner and outer shells in mating position on the hand gripping portion of a normal handle;   (d) a handle covering material operatively mounted around the outer periphery of said tubular outer shell;   (e) said tubular inner isolation shell of shock and vibration absorbent material comprising a plurality of strips of said material, evenly spaced longitudinally about the hand gripping portion of a normal handle;   (f) said tubular inner isolation shell of shock and vibration absorbent material being adapted to be mounted on the handle gripping portion of a normal handle by a tubular inner mounting shell which has one end fixedly mounted on the hand gripping portion of the normal handle; and,   (g) an elongated damping spring beam disposed in said tubular inner mounting shell, said beam having one end attached to the end of the tubular inner mounting shell that is adapted to be fixed to a normal handle, and the other end of said beam carrying a weight which is free to vibrate within the tubular inner mounting shell when the item is impacted.   
     
     
       7. A shock and vibration handle for application to the hand gripping portion of a normal handle on an impacted, vibration sensitive item, characterized in that it comprises: (a) a tubular inner isolation shell of shock and vibration absorbent material adapted to be mounted on the hand gripping portion of a normal handle;   (b) a tubular outer shell having an outer periphery and being mounted around said tubular inner isolation shell of shock and vibration absorbent material and comprising two elongated equal shell portions which do not touch each other;   (c) means for holding said tubular inner and outer shells in mating position on the hand gripping portion of a normal handle;   (d) a handle covering material operatively mounted around the outer periphery of said tubular outer shell;   (e) said tubular inner isolation shell of shock and vibration material comprising a one-piece tubular shell of such absorbent material;   (f) said tubular inner isolation shell of shock and vibration absorbent material being adapted to be mounted on the hand gripping portion of a normal handle by a tubular inner mounting shell which has one end fixedly mounted on the hand gripping portion of the normal handle; and,   (g) an elongated damping spring beam disposed in said tubular inner mounting shell, said beam having one end attached to the end of the tubular inner mounting shell that is adapted to be fixed to a normal handle, and the other end of said beam carrying a weight which is free to vibrate within the tubular inner mounting shell when the item is impacted."
